
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| justhelpingabit     | 65e950c6e6538b1b0c9adee3925fcbcf93280083 | ZelQxuZTixsMmt7jkl/Lz5MoAIM | 217.119.41.213  |              48 |
| gidzeliUBUNT        | d0c9219310643cf3129d7257650d0f07a375a842 | 0MkhkxBkPPMSnXJXZQ0PB6N1qEI | 46.30.41.166    |              48 |
| ThomasBernhardsHose | a40e1c039224fa8072c7c84f729236fd738c69da | pA4cA5Ik+oByx8hPcpI2/XOMado | 178.24.156.222  |              48 |
| torcmousefi         | dfd5d3a9373f5dcd5a841a0cdf99e30499a71287 | 39XTqTc/Xc1ahBoM35njBJmnEoc | 82.203.195.64   |              48 |
| eatMeToGrow         | 56649f9609df194385d6969820991423d8f0d176 | VmSflgnfGUOF1paYIJkUI9jw0XY | 173.255.215.87  |              48 |
| s573                | 69b36b8b84268f5497d657f15656eb7733aedf33 | abNri4Qmj1SX1lfxVlbrdzOu3zM | 83.250.77.154   |              48 |
| VMnetTORRelay01     | 08d8fe492aa889975c52fe608ba57582ac0a8e8a | CNj+SSqoiZdcUv5gi6V1gqwKjoo | 217.92.125.186  |              48 |
| KOPA                | 2386038c4233f8900768edc03ab6050ad2a04cf0 | I4YDjEIz+JAHaO3AOrYFCtKgTPA | 77.247.180.166  |              48 |
| BladeServer         | 98ecd759557a3d114a80c676a86964becdac9055 | mOzXWVV6PRFKgMZ2qGlkvs2skFU | 188.40.59.80    |              48 |
| PoorRabbit          | 23e7d08fa4de6026a4a13376a4b4d6e1408f3945 | I+fQj6TeYCakoTN2pLTW4UCPOUU | 87.102.169.145  |              48 |
| TorAustralisVII     | df6da011e1f6057d4bb21790c28df099015ad98e | 322gEeH2BX1LsheQwo3wmQFa2Y4 | 192.227.247.246 |              48 |
| voodoo2ext          | c6362dd764ceaeed41ad7cb8f5a611cf0884a78b | xjYt12TOru1BrXy49aYRzwiEp4s | 152.66.220.134  |              48 |
| zxhkhighway0002     | 4900c971eb7bae214918634113282c878823095f | SQDJcet7riFJGGNBEygsh4gjCV8 | 59.188.245.233  |              48 |
| qwerty1             | 0964b9fb6c2bc15ecceeafaa7eaeca283f88a3c0 | CWS5+2wrwV7M7q+qfq7KKD+Io8A | 162.243.126.65  |              48 |
| h2163160            | af726b22b4175309e8711aa3847472112910feac | r3JrIrQXUwnocRqjhHRyESkQ/qw | 85.214.217.5    |              48 |
